500;266;233;233;292;200;242;183;200;158;133;158;250;225;300;225;242;225;258;192;192;200;200;167;150;242
225;500;292;350;225;183;266;342;175;167;250;225;167;225;283;350;375;225;233;200;250;192;150;150;216;150
283;242;483;242;300;142;258;258;158;216;158;133;200;308;342;250;242;292;275;200;325;292;208;167;258;233
216;383;225;500;208;208;375;333;183;208;225;216;175;167;266;333;350;233;183;242;233;200;158;158;216;150
375;308;325;250;483;208;300;183;158;175;175;142;192;233;325;283;242;308;283;200;266;192;183;183;158;250
200;175;208;192;216;500;250;208;192;250;167;225;167;183;142;183;175;225;175;300;167;216;175;150;183;175
325;325;266;275;233;200;500;216;175;266;208;175;225;208;258;316;417;175;233;200;208;183;167;175;383;158
183;316;233;283;216;192;167;500;192;225;333;192;242;325;183;266;183;342;150;208;308;250;142;150;266;175
167;142;167;183;150;192;200;175;467;358;175;392;200;208;183;183;142;192;183;266;216;183;158;158;192;175
175;183;225;208;167;275;283;200;350;500;175;266;167;208;192;250;192;258;208;308;233;250;167;183;225;200
158;266;200;216;150;158;167;325;175;150;500;192;183;150;142;208;150;208;175;183;175;233;200;366;242;183
158;208;125;225;158;283;158;208;366;208;225;500;142;167;142;158;158;167;175;300;158;142;142;167;150;158
200;175;225;192;208;200;216;216;192;133;167;167;500;375;225;200;167;300;192;183;233;208;316;233;183;250
242;216;350;225;216;192;183;358;192;216;133;133;375;500;242;216;216;308;175;175;333;225;233;175;233;208
250;308;316;316;325;150;233;208;200;216;158;133;225;250;500;333;258;192;233;158;333;283;167;150;200;158
258;350;258;300;250;183;325;242;200;216;183;150;175;216;300;500;408;266;233;216;200;183;233;158;258;216
216;342;266;383;208;192;467;258;158;167;175;200;167;225;242;408;500;208;183;183;216;183;183;158;258;175
250;242;283;283;275;275;242;333;208;233;167;125;266;300;266;316;225;500;216;266;258;200;183;242;216;200
258;167;292;225;292;208;216;158;192;175;133;125;225;233;200;258;192;208;483;200;208;192;242;242;192;308
158;258;208;225;150;342;208;200;200;233;233;300;200;200;192;192;158;192;183;467;192;233;167;183;192;216
283;183;316;225;266;183;225;316;192;266;200;183;225;333;292;208;216;275;200;192;442;400;366;208;400;225
150;183;292;175;192;167;192;225;175;225;200;167;175;266;250;183;200;258;208;183;400;500;308;283;325;242
175;150;216;150;167;175;183;208;192;175;150;167;350;275;150;167;175;183;242;183;333;325;500;192;242;258
208;167;225;158;208;142;175;183;192;158;392;142;200;175;167;158;200;200;175;183;225;258;183;500;175;258
233;250;216;250;216;175;366;250;175;266;216;158;216;225;208;233;275;225;216;192;358;350;258;233;500;192
250;183;283;133;292;158;192;183;192;158;200;142;192;233;175;192;167;258;333;183;233;175;266;242;233;500
